,0
0,8
1,9
2,4
3,8
4,3
5,7
6,2
7,3
8,4
9,3
10,4
11,4
12,6
13,4
14,7
15,2
16,0
17,5
18,8
19,6
20,5
21,2
22,9
23,3
24,0
25,8
26,5
27,8
28,0
29,1
30,3
31,5
32,3
33,7
34,9
35,6
36,8
37,7
38,4
39,5
40,7
41,3
42,5
43,8
44,2
45,7
46,5
47,0
48,2
49,4
50,8
51,4
52,6
53,4
54,2
55,4
56,2
57,4
58,0
59,6
60,8
61,1
62,9
63,4
64,2
65,2
66,4
67,2
68,3
69,9
70,9
71,8
72,9
73,7
74,5
75,2
76,7
77,0
78,3
79,7
80,6
81,7
82,8
83,1
84,9
85,0
86,0
87,2
88,1
89,9
90,8
91,7
92,8
93,9
94,5
95,3
96,4
97,3
98,5
99,7
100,0
101,3
102,5
103,0
104,4
105,9
106,8
107,5
108,1
109,4
110,9
111,3
112,9
113,9
114,0
115,9
116,4
117,5
118,2
119,4
120,9
121,7
122,0
123,4
124,4
125,5
126,9
127,9
128,7
129,5
130,4
131,1
132,9
133,7
134,2
135,5
136,4
137,7
138,4
139,3
140,4
141,3
142,7
143,9
144,2
145,5
146,4
147,4
148,1
149,8
150,5
151,4
152,2
153,7
154,4
155,4
156,7
157,2
158,9
159,8
160,3
161,4
162,8
163,3
164,3
165,0
166,0
167,3
168,7
169,5
170,3
171,5
172,2
173,7
174,3
175,6
176,1
177,4
178,7
179,4
180,0
181,4
182,8
183,8
184,7
185,9
186,5
187,4
188,5
189,2
190,4
191,3
192,0
193,0
194,0
195,8
196,3
197,2
198,4
199,0
200,7
201,2
202,6
203,2
204,7
205,2
206,2
207,0
208,4
209,4
210,6
211,8
212,5
213,8
214,9
215,3
216,4
217,3
218,3
219,4
220,0
221,3
222,7
223,2
224,3
225,7
226,0
227,5
228,5
229,2
230,1
231,5
232,7
233,2
234,0
235,5
236,3
237,5
238,0
239,4
240,3
241,0
242,5
243,0
244,6
245,3
246,8
247,9
248,8
249,8
250,2
251,9
252,3
253,8
254,2
255,2
256,9
257,0
258,7
259,2
260,3
261,6
262,0
263,7
264,0
265,7
266,3
267,7
268,7
269,7
270,4
271,0
272,4
273,7
274,9
275,7
276,3
277,2
278,7
279,4
280,9
281,3
282,9
283,8
284,9
285,7
286,8
287,4
288,5
289,5
290,3
291,2
292,2
293,9
294,4
295,6
296,1
297,8
298,8
299,2
300,1
301,4
302,4
303,0
304,3
305,2
306,2
307,4
308,9
309,3
310,9
311,6
312,0
313,3
314,4
315,7
316,7
317,3
318,1
319,9
320,4
321,1
322,8
323,7
324,0
325,7
326,9
327,3
328,0
329,1
330,7
331,3
332,2
333,4
334,7
335,0
336,4
337,3
338,3
339,9
340,9
341,3
342,2
343,8
344,9
345,4
346,1
347,8
348,2
349,9
350,0
351,4
352,5
353,5
354,9
355,3
356,3
357,4
358,8
359,0
360,2
361,2
362,8
363,7
364,3
365,2
366,5
367,6
368,5
369,7
370,3
371,8
372,2
373,6
374,2
375,3
376,4
377,1
378,7
379,4
380,4
381,7
382,5
383,6
384,5
385,2
386,5
387,4
388,8
389,5
390,5
391,3
392,2
393,0
394,9
395,9
396,8
397,8
398,0
399,0
400,0
401,2
402,4
403,0
404,9
405,9
406,0
407,0
408,2
409,3
410,0
411,3
412,5
413,3
414,7
415,7
416,8
417,7
418,6
419,1
420,2
421,9
422,2
423,2
424,2
425,0
426,2
427,8
428,4
429,0
430,8
431,8
432,5
433,6
434,5
435,9
436,0
437,5
438,3
439,2
440,2
441,5
442,2
443,4
444,1
445,7
446,3
447,5
448,0
449,3
450,9
451,1
452,7
453,3
454,9
455,8
456,4
457,3
458,0
459,5
460,4
461,4
462,0
463,0
464,9
465,7
466,3
467,8
468,8
469,5
470,4
471,0
472,6
473,2
474,6
475,3
476,2
477,7
478,2
479,9
480,0
481,9
482,3
483,9
484,2
485,5
486,5
487,5
488,1
489,9
490,9
491,7
492,8
493,1
494,4
495,9
496,0
497,9
498,2
499,2
500,7
501,7
502,0
503,8
504,9
505,3
506,4
507,3
508,4
509,2
510,7
511,2
512,5
513,7
514,4
515,9
516,3
517,0
518,0
519,5
520,8
521,7
522,2
523,6
524,8
525,2
526,2
527,9
528,3
529,0
530,0
531,5
532,8
533,4
534,0
535,1
536,7
537,7
538,9
539,4
540,5
541,5
542,0
543,5
544,5
545,0
546,1
547,2
548,4
549,9
550,6
551,1
552,5
553,8
554,4
555,8
556,7
557,0
558,3
559,5
560,2
561,0
562,8
563,5
564,3
565,2
566,2
567,0
568,4
569,7
570,9
571,1
572,2
573,4
574,8
575,8
576,9
577,3
578,4
579,8
580,5
581,3
582,0
583,3
584,6
